"filename", "language", "Markdown", "Python", "Swift", "Shell Script", "YAML", "JSON", "comment", "blank", "total"
"/Users/kyle/Developer/stopmo-xcode/AGENTS.md", "Markdown", 128, 0, 0, 0, 0, 0, 0, 23, 151
"/Users/kyle/Developer/stopmo-xcode/CONTRIBUTING.md", "Markdown", 21, 0, 0, 0, 0, 0, 0, 8, 29
"/Users/kyle/Developer/stopmo-xcode/README.md", "Markdown", 38, 0, 0, 0, 0, 0, 0, 16, 54
"/Users/kyle/Developer/stopmo-xcode/config/sample.matrix.json", "JSON", 0, 0, 0, 0, 0, 36, 0, 1, 37
"/Users/kyle/Developer/stopmo-xcode/config/sample.yaml", "YAML", 0, 0, 0, 0, 53, 0, 0, 1, 54
"/Users/kyle/Developer/stopmo-xcode/config/sample2.matrix.json", "JSON", 0, 0, 0, 0, 0, 34, 0, 1, 35
"/Users/kyle/Developer/stopmo-xcode/docs/architecture.md", "Markdown", 24, 0, 0, 0, 0, 0, 0, 10, 34
"/Users/kyle/Developer/stopmo-xcode/docs/cli.md", "Markdown", 101, 0, 0, 0, 0, 0, 0, 48, 149
"/Users/kyle/Developer/stopmo-xcode/docs/gui-backend-api.md", "Markdown", 52, 0, 0, 0, 0, 0, 0, 15, 67
"/Users/kyle/Developer/stopmo-xcode/docs/gui-phase0-baseline.md", "Markdown", 76, 0, 0, 0, 0, 0, 0, 17, 93
"/Users/kyle/Developer/stopmo-xcode/docs/gui-phase1-design-system.md", "Markdown", 44, 0, 0, 0, 0, 0, 0, 19, 63
"/Users/kyle/Developer/stopmo-xcode/docs/gui-phase10-accessibility.md", "Markdown", 33, 0, 0, 0, 0, 0, 0, 17, 50
"/Users/kyle/Developer/stopmo-xcode/docs/gui-phase11-performance-resilience.md", "Markdown", 47, 0, 0, 0, 0, 0, 0, 19, 66
"/Users/kyle/Developer/stopmo-xcode/docs/gui-phase12-lifecycle-overhaul.md", "Markdown", 101, 0, 0, 0, 0, 0, 0, 26, 127
"/Users/kyle/Developer/stopmo-xcode/docs/gui-phase13-pipeline-surfaces.md", "Markdown", 48, 0, 0, 0, 0, 0, 0, 12, 60
"/Users/kyle/Developer/stopmo-xcode/docs/gui-phase2-shell-navigation.md", "Markdown", 53, 0, 0, 0, 0, 0, 0, 22, 75
"/Users/kyle/Developer/stopmo-xcode/docs/gui-phase3-errors-notifications.md", "Markdown", 60, 0, 0, 0, 0, 0, 0, 30, 90
"/Users/kyle/Developer/stopmo-xcode/docs/gui-phase4-setup-redesign.md", "Markdown", 54, 0, 0, 0, 0, 0, 0, 31, 85
"/Users/kyle/Developer/stopmo-xcode/docs/gui-phase5-project-ia.md", "Markdown", 41, 0, 0, 0, 0, 0, 0, 24, 65
"/Users/kyle/Developer/stopmo-xcode/docs/gui-phase6-live-monitor.md", "Markdown", 44, 0, 0, 0, 0, 0, 0, 25, 69
"/Users/kyle/Developer/stopmo-xcode/docs/gui-phase7-shots-queue.md", "Markdown", 41, 0, 0, 0, 0, 0, 0, 15, 56
"/Users/kyle/Developer/stopmo-xcode/docs/gui-phase8-tools-workflow.md", "Markdown", 33, 0, 0, 0, 0, 0, 0, 23, 56
